organism_name	md5sum	num_unique_kmers_in_genome_sketch	num_total_kmers_in_genome_sketch	genome_scale_factor
GCA_000989955.1 candidate division TM6 bacterium GW2011_GWF2_37_49, ASM98995v1	08df190e8ef054fb483965f96bfecafb	1506	1506	1000
GCA_015654985.1 Sphingobacteriales bacterium, ASM1565498v1	15179fd6cb601e8faba4f3087e5efc25	4672	4672	1000
GCF_007858535.1 Arthrobacter sp. UKPF54-2 strain=UKPF54-2, ASM785853v1	073467d591caeaa89a77adf0bd522569	3584	3584	1000
GCA_016185875.1 Candidatus Woesearchaeota archaeon, ASM1618587v1	1b925177036a8a4fcadad80ed25dd95f	722	722	1000
GCA_024689005.1 Paludibacteraceae bacterium, ASM2468900v1	0ba36ac42a6fe69d6732120d29519e06	1950	1950	1000
GCA_903911165.1 uncultured actinobacterium, freshwater MAG --- ErkenSummer_bin-3301	02ee0c0b61ffb7e74e6d8d8dcc276242	3112	3112	1000
GCA_003023465.1 Halobacteriales archaeon SW_6_65_15, ASM302346v1	1ae76d7e7a00069ae1fe3e499b8638c8	2427	2427	1000
GCA_009773045.1 Rhodospirillaceae bacterium, ASM977304v1	169a0865b68b4e3d93733ba95f6a29ff	2508	2508	1000
GCF_000741785.1 Bifidobacterium stellenboschense strain=DSM 23968, Bifste	10b7aee6a3db6cf05b59505b11a0473a	2766	2766	1000
GCF_018130765.1 Bradyrhizobium iriomotense strain=SZCCT0346, ASM1813076v1	03bb1cbbddf15099f3ebe0efb81d2420	8334	8334	1000
GCF_019797765.1 Cellulomonas sp. C5510 strain=C5510, ASM1979776v1	0677e028836d5733cdd2410b1ec5f8d1	4090	4090	1000
GCA_002385465.1 Firmicutes bacterium UBA3951, ASM238546v1	09b18361bec9f32de1cfd5c68a96a534	2035	2035	1000
GCF_001281045.1 Spiroplasma cantharicola strain=CC-1, ASM128104v1	1d5ed420c192c7e221c2240b112ea001	1172	1172	1000
GCF_003007675.1 Marinobacter fuscus strain=NH169-3, ASM300767v1	1478abfed2c0d70e98f375cdec2b11af	3973	3973	1000
GCA_019236175.1 Chryseobacterium sp., ASM1923617v1	147a9eb2ebf013d6687fd0f7b1316122	4783	4783	1000
GCA_020352775.1 Candidatus Omnitrophica bacterium, ASM2035277v1	16e708ed327b30c5cebbb3cbf30b0cf7	1248	1248	1000
GCA_903994365.1 uncultured Chlorobiaceae bacterium, freshwater SAG --- RF-1857-SP43-464-A3_S5	19f2ab44f71d6829060db852711aff39	1930	1930	1000
GCA_016930635.1 Sedimentisphaerales bacterium, ASM1693063v1	050312695d9745f708f67e27e0f11b55	2511	2511	1000
GCA_001820215.1 Candidatus Staskawiczbacteria bacterium RIFCSPLOWO2_01_FULL_33_13, ASM182021v1	00f1e8f9f87e8b201f56b2d160b39d71	684	684	1000
GCA_902385225.1 uncultured archaeon, uncultured Diapherotrites archaeon LFW-252_2	0fe3f6b07bac314e4620d2c347ffefee	1053	1053	1000
GCA_019510405.1 Gemmatimonadetes bacterium, ASM1951040v1	0d906fcf0fb4c3a281b30757ea2bca8a	3567	3567	1000
GCA_016180525.1 Parcubacteria group bacterium, ASM1618052v1	1a909a10b1301dea00dbca3e39549714	972	972	1000
GCA_002084665.1 Desulfobacteraceae bacterium 4572_35.2, ASM208466v1	036577298e345883a8b889477a9b6cc8	1930	1930	1000
GCF_005221285.1 Neisseria flavescens strain=ATCC 13120, ASM522128v1	0b97aec94036475ffed4d0d627a794e8	2131	2131	1000
GCA_009782405.1 Ruminococcaceae bacterium, ASM978240v1	11af2df829425ce48b347de8cf238d39	3435	3435	1000
GCF_001561955.1 Anaerotignum propionicum DSM 1682 strain=X2, ASM156195v1	098f54f55ea1823fb6ec04e3ecc41110	3037	3037	1000
GCF_004022705.2 Mesorhizobium sp. M2D.F.Ca.ET.226.01.1.1 strain=M2D.F.Ca.ET.226.01.1.1, ASM402270v2	0695d9788885b4e115c8741dc61516f2	6819	6819	1000
GCA_902773005.1 uncultured Erysipelotrichaceae bacterium, Rumen uncultured genome RUG11821	18539ecea30a9661cbe8d8d43d501af6	2268	2268	1000
GCA_902779125.1 uncultured Bacteroidales bacterium, Rumen uncultured genome RUG12435	08aaba21783304cfef309a10430a8d19	3380	3380	1000
GCA_022508285.1 Clostridiales bacterium, ASM2250828v1	1278c95ba350734f104798737ee9e0f7	1425	1425	1000
GCA_022510905.1 Treponema sp., ASM2251090v1	131435db05ad44af656ab11f5d665740	2315	2315	1000
GCA_002347185.1 Desulfobulbaceae bacterium UBA2262, ASM234718v1	1da4ec2c87b50bdb13240655013e7355	2802	2802	1000
GCF_003856975.1 Plantibacter sp. PA-3-X8 strain=PA-3-X8, ASM385697v1	1106391a5a3a46f4181f974f77cf72cc	4060	4060	1000
GCA_015487265.1 Sulfurimonas sp., ASM1548726v1	06d6e7084dd911ebb3b7dea6880f3e0b	3010	3010	1000
GCA_001717015.1 Candidatus Methanosuratus petracarbonis, ASM171701v1	1a369fa9900f1a49e41c10ae04292145	1293	1293	1000
GCF_001658025.2 Kosakonia oryzae strain=Ola 51, ASM165802v2	038d476aeedb27e22efbf4051a03d008	5398	5398	1000
GCF_004088395.1 Ornithobacterium rhinotracheale strain=FARPER-174b, ASM408839v1	0defd28bb71d690c02c63483af208709	2098	2098	1000
GCA_018660225.1 Kordiimonadaceae bacterium, ASM1866022v1	0c56a962a3aca911a57d7f839b5211ae	2948	2948	1000
GCA_001890965.1 marine bacterium AO1-C, ASM189096v1	1246c10ba6885a49570f230e59ad1e46	11430	11430	1000
GCF_014705605.1 Paenibacillus sp. IB182496 strain=IB182496, ASM1470560v1	1a3b343a66a0bf04e9b3d4b183bde621	6093	6093	1000
GCF_012726175.1 Micromonospora sp. HNM0581 strain=HNM0581, ASM1272617v1	0416dcc6155157d230ece84b7a93e8f3	5050	5050	1000
GCA_944332715.1 uncultured Bacilli bacterium, BRZ_NK__bin60	0aca5fad058289c76ad8b77890b682c9	1486	1486	1000
GCA_003511125.1 Candidatus Uhrbacteria bacterium, ASM351112v1	199911e10a12308357c5bbec306e03de	1110	1110	1000
GCA_003694965.1 Euryarchaeota archaeon, ASM369496v1	1b2eaf50ee76d7d02beb61eb17243eeb	661	661	1000
GCA_017461005.1 Clostridia bacterium, ASM1746100v1	0475bac757859bc5dd02de55beee9594	2095	2095	1000
GCA_017558145.1 Lachnospiraceae bacterium, ASM1755814v1	08d1feee25722eb08704330cb4f74c2d	2791	2791	1000
GCF_013363975.1 Nonomuraea sp. SMC257 strain=SMC257, ASM1336397v1	07cfe2b0505b962dd6ece19ea491e78f	9634	9634	1000
GCA_025054515.1 Candidatus Caldarchaeum sp., ASM2505451v1	08e63589d1857a9524ee882ce954ae05	1509	1509	1000
GCA_018971405.1 Alphaproteobacteria bacterium, ASM1897140v1	149bee08921636fb804209e202959240	1849	1849	1000
GCA_018433885.1 Candidatus Cloacimonetes bacterium, SM3	12a6cbb6cd39d1af5d79264ff6a8133e	2345	2345	1000
GCA_902632445.1 uncultured Pelagibacteraceae bacterium, AH-326-M23	05ebedad88f97d3eb27a862baf85db61	842	842	1000
GCF_003028415.1 Deinococcus sp. OD32 strain=OD32, ASM302841v1	0e8b7717f5693b2215fac8d49f15e306	4016	4016	1000
GCA_934654605.1 uncultured Collinsella sp., ERR7746398_bin.73	0bb1ad8e30b758b7fee3b340b2603d3e	1755	1755	1000
GCA_009379825.1 Streptosporangiales bacterium, ASM937982v1	03fc86f0dffd5310eb37b6ee03b70b45	6123	6123	1000
GCA_934754335.1 uncultured Clostridia bacterium, ERR7746748_bin.42	0bd16a211088e52d3136942a93b7c815	1130	1130	1000
GCA_024681855.1 Elusimicrobiales bacterium, ASM2468185v1	178706851bf52e92133fe8439c86b872	2020	2020	1000
GCF_018024495.1 Agromyces sp. G127AT, ASM1802449v1	0204e723e0256cbd9dc10863edb2bece	3461	3461	1000
GCA_009921985.1 bacterium, ASM992198v1	03a6e691ce3a9116b91b0eea3195d614	1360	1360	1000
GCF_006715725.1 Pseudomonas sp. SLBN-26 strain=IMT03, ASM671572v1	04e3dbae456bfe1a4716535f3ae97369	5216	5216	1000
GCF_000372425.1 Streptococcus ferus DSM 20646 strain=DSM 20646, ASM37242v1	1c63f9f4bb5112d6920617c2f843717d	1797	1797	1000
GCA_016207625.1 Elusimicrobia bacterium, ASM1620762v1	170b8302a32380e2cbba0bcf2b3c69c7	2317	2317	1000
GCA_009837205.1 Candidatus Dadabacteria bacterium, ASM983720v1	17cef2660b0b1ea5781d7817caaa0870	1642	1642	1000
GCA_017559135.1 Bacteroidales bacterium, ASM1755913v1	15e49f43e0d2592fec1d06f117cc9645	2066	2066	1000
GCA_015231715.1 Candidatus Omnitrophica bacterium, ASM1523171v1	066aaf7f4aa682e7036771177fc1be90	1494	1494	1000
GCA_023300125.1 Phycisphaera sp., ASM2330012v1	0d5e920d38484f0e62ce7037b265cb54	3173	3173	1000
GCA_902761655.1 uncultured Bacteroidia bacterium, Rumen uncultured genome RUG10680	0bf442091fee8c37d9dc2466498df3c3	1973	1973	1000
GCF_016937615.1 Pseudomonas sp. MAFF 301380 strain=MAFF 301380, ASM1693761v1	0510c0c25dba611ba680bb70509216a9	6304	6304	1000
GCA_004292865.1 Sphingobacteriales bacterium, ASM429286v1	02b3b5b81d465bbb9a343aa166e8d523	2166	2166	1000
GCF_009828015.1 Erythrobacter citreus strain=CGMCC 1.8703, ASM982801v1	0b43439b14bb16af807cfa12cd47c219	2973	2973	1000
GCF_003688415.1 Umboniibacter marinipuniceus strain=DSM 25080, ASM368841v1	03f16a13848d8b2d5825cc3b1c298c1b	2666	2666	1000
GCF_001544555.2 Caballeronia udeis, Burkholderia udeis LMG 27134	0d029fa4270d28426c0692ce0afefe9b	10044	10044	1000
GCF_003315035.1 Nocardia puris strain=DSM 44599, ASM331503v1	058856006c9756b57885aff699fe2ccc	7657	7657	1000
GCA_019456345.1 Nitrospira sp., ASM1945634v1	0599751a920debe05404b9f8205ca982	2943	2943	1000
GCA_010604095.1 Streptococcus vestibularis strain=AS012761, ASM1060409v1	1011a3c923fa78a46b088ee068f5a605	2100	2100	1000
GCF_003604215.1 Roseomonas vastitatis strain=CPCC 101021, ASM360421v1	0cfa665ea585f3d7f38a13c251bf20b5	5051	5051	1000
GCA_002169935.2 Candidatus Pelagibacter sp. TMED153, ASM216993v2	0484db52e718b50fda61b31f30e9d346	767	767	1000
GCF_006352475.1 Acinetobacter pullicarnis strain=S23, ASM635247v1	0b5407d30926ca20c02eaf3fd824ed7e	4017	4017	1000
GCF_004345785.1 Bisgaardia hudsonensis strain=DSM 28231, ASM434578v1	0c17a0e177170a987ce05d99e94d3a26	2119	2119	1000
GCA_016219345.1 Candidatus Saccharibacteria bacterium, ASM1621934v1	00b8e303022effea35193bcfdd30a86d	724	724	1000
GCF_019443085.1 Marinobacter sp. F4218 strain=F4218, ASM1944308v1	14a10d299df2a2af9e444cce2e7ce86e	4159	4159	1000
GCA_023265155.1 Acidobacteria bacterium, ASM2326515v1	07d4f7f422b41d9f59a73fcfd6c290e9	2528	2528	1000
GCA_000437495.1 Prevotella sp. CAG:485, MGS485	0d5a2afa6a6f849e04e7ba0431827e78	2475	2475	1000
GCA_022822245.1 Gammaproteobacteria bacterium, ASM2282224v1	1597fd3b5a77381e6bb7d1ce400dd82c	4744	4744	1000
GCA_002508635.1 Methanolobus sp. UBA118, ASM250863v1	1593a1feea9b108217579431dd475406	1867	1867	1000
GCA_016872055.1 Thaumarchaeota archaeon, JGI 2017-08-21	02703ce7a62b4416a501feccd2d8102e	1205	1205	1000
GCA_004293485.1 Sphingobacteriales bacterium, ASM429348v1	0af1ecf6541320c20be7f36f953ee481	2268	2268	1000
GCA_003265895.1 Candidatus Marinamargulisbacteria bacterium SCGC AG-410-N11, ASM326589v1	0ed5be94451b85c718f11da6198cab20	1562	1562	1000
GCF_021290385.1 Microbulbifer sp. YPW16 strain=YPW16, ASM2129038v1	10cd538eefc8b2007755411dff8d79de	4023	4023	1000
GCA_005882155.1 Betaproteobacteria bacterium, ASM588215v1	0fadeb5ab48e510ffa1b82a55e5a5647	3996	3996	1000
GCA_017577345.1 Clostridiales bacterium, ASM1757734v1	006817520d0b972e1cf98b9a35148d9f	1589	1589	1000
GCA_021814855.1 Bacteroidetes bacterium, ASM2181485v1	010e849e8955050c892d1c886fd94441	2475	2475	1000
GCA_020434415.1 Bdellovibrionales bacterium, ASM2043441v1	1c42d202f5bde6be77fec56116023aa6	4382	4382	1000
GCF_008831235.1 Pseudoclavibacter sp. CFCC 11306 strain=CFCC 11306, ASM883123v1	0e461b86b47300c5ba1f9ebb07fcdad4	2329	2329	1000
GCF_001746425.1 Streptomyces subrutilus strain=10-1-1, ASM174642v1	016e8de42c3eb2af3cbc857e26594f53	7920	7920	1000
GCF_900156575.1 Chryseobacterium shigense strain=DSM 17126, IMG-taxon 2681813504 annotated assembly	1d897ca521b7cb87386cb8cda6581f5c	4779	4779	1000
GCA_943359455.1 Candidatus Uhrbacteria bacterium RIFOXYB12_FULL_58_10, MaH-04nov19-280	0a0d290a0b39430612b2b50cd0b8436a	1105	1105	1000
GCA_024401475.1 Paludibacteraceae bacterium, ASM2440147v1	0f86f4b2ca912b279890db22ca5941ec	3492	3492	1000
GCA_021732045.1 Sulfurimonas sp., ASM2173204v1	1629ded3b8f140fba5b1b6009c6ffeea	2058	2058	1000
GCA_014799565.1 Clostridiales bacterium, ASM1479956v1	0f0fd72fcbb99a84a816ea16f4d9fda0	2388	2388	1000
GCF_000317085.1 Synechococcus sp. PCC 7502 strain=PCC 7502, ASM31708v1	0d5182a1bb08c0a3ffea3201693f6a0c	3362	3362	1000
GCA_900550795.1 uncultured Mollicutes bacterium, UMGS1337	0d1ef0f783c7f662fdd660c6789ef275	1155	1155	1000
GCF_003732265.1 Pseudomonas brassicacearum strain=38D7, ASM373226v1	08f2c788f12a89dd82613844d3f6004e	6270	6270	1000
GCA_003164925.1 Caulobacteraceae bacterium, 20120700_S1D	1384a7227247fcdba756251f4aa707f0	3390	3390	1000
GCF_019972115.1 Sulfurovum sp. TSL6 strain=TSL6, ASM1997211v1	0d90f8e8ec6918cfa0913e57dc9f3ba6	2285	2285	1000
GCA_017302755.1 Alphaproteobacteria bacterium, ASM1730275v1	011e6b3f7619c9c91c8311ec1c9bbd5a	2085	2085	1000
GCA_003561875.1 Desulfuromonadales bacterium, ASM356187v1	15d19da6e071e51d95b3c6c34230bd60	2253	2253	1000
GCF_007018965.1 Paracoccus marinus strain=NBRC 1000637, ASM701896v1	06c56869ad5480a4d884dfaa3b7897d7	3236	3236	1000
GCA_902616145.1 uncultured Pelagibacteraceae bacterium, AG-919-I13	0d898b002612dbe37e4e91a8762f6e87	1059	1059	1000
GCA_017502965.1 Clostridia bacterium, ASM1750296v1	0f9f5d81d482a5125fd0e450e5f085fb	1012	1012	1000
GCA_016710325.1 Anaerolineaceae bacterium, ASM1671032v1	190a85502f46a06d395ec22a75cf585c	8095	8095	1000
GCF_000015205.1 Pyrobaculum islandicum DSM 4184 strain=DSM 4184, ASM1520v1	0c1aa61b762637b92dbb94b6f0b3a39f	1852	1852	1000
GCA_000431015.1 Alistipes sp. CAG:514, MGS514	11695826950664871c4eda1c64a67560	2328	2328	1000
GCF_006546625.1 Flavobacteriaceae bacterium PLHSN227 strain=PLHSN227, ASM654662v1	1b87705b344178d21c9b79b9a28ef458	2903	2903	1000
GCF_900103125.1 Mucilaginibacter sp. OK268 strain=OK268, IMG-taxon 2690315638 annotated assembly	10a28fcdb90c4e5e293f6ec9faeef251	7109	7109	1000
GCA_016935835.1 Clostridia bacterium, ASM1693583v1	11e4862af5d9ad317095cc647fe45481	2374	2374	1000
GCA_003569165.1 Opitutae bacterium, ASM356916v1	06c34691d521602468af486e7619d38f	1994	1994	1000
GCA_017474485.1 Prevotella sp., ASM1747448v1	1291ba6c7f19f47ba6e4dbed9dafbd21	2949	2949	1000
GCA_020054055.1 Phycisphaerales bacterium, ASM2005405v1	048184b320056d26e563789e492ccc51	2282	2282	1000
GCA_913048465.1 uncultured Nitrosomonadales bacterium, ERR599143_bin.36_MetaBAT_v2.12.1_MAG	1c6e3af9fb2a0738a6a638f4bb1f662d	1248	1248	1000
GCA_019314085.1 Deltaproteobacteria bacterium, ASM1931408v1	0f68ecd30e699b0555ef877db8ce488d	3324	3324	1000
GCA_013213915.1 Planctomycetes bacterium, ASM1321391v1	082f1bfa286e4ff0717ad17c567951cb	4061	4061	1000
GCA_013334745.1 Coriobacteriia bacterium, ASM1333474v1	12b591d6afcb7dcdbded47e883cfbd18	2491	2491	1000
GCF_024448165.1 Streptomyces longispororuber strain=PBR1, ASM2444816v1	0859549c73ba83051916f4c18f234871	10389	10389	1000
GCA_017442645.1 bacterium, ASM1744264v1	04b2840582e9b2afcea1e41e9013b72b	1288	1288	1000
GCA_945787155.1 uncultured Gammaproteobacteria bacterium, FO.M.Gamma.033.1	16ae0e6d9bf94d377dd29dd865e0bea8	3153	3153	1000
GCA_020345945.1 Candidatus Bathyarchaeota archaeon, ASM2034594v1	0dbf51ee7e1c26eed43694d0bd824b5d	1122	1122	1000
GCA_002733385.1 Robiginitomaculum sp., ASM273338v1	12a5cb382b3713c60a8083a50408fe87	2768	2768	1000
GCF_000175255.2 Zymomonas mobilis subsp. mobilis ATCC 10988 strain=ATCC 10988, ASM17525v2	16dfc2e664ac5897732ddfbb777d2bdb	2077	2077	1000
GCA_021737405.1 Bacteriovoracaceae bacterium, ASM2173740v1	0bc0b92c1b70a6fa07eb93b5a4f4394c	3392	3392	1000
GCA_003152015.1 Acidimicrobiaceae bacterium, 20120700_P3D	0c79541b71d68a3c0395896cd23fc646	3488	3488	1000
GCA_015062045.1 Akkermansiaceae bacterium, ASM1506204v1	1db850dd28a2dd09350af547cdc94fbe	2180	2180	1000
GCA_024401225.1 Bacteroidaceae bacterium, ASM2440122v1	0fb962699609093fa699e87a3c474a69	3020	3020	1000
GCF_018802765.1 Paludibacterium sp. B53371 strain=B53371, ASM1880276v1	17d4dcd7ae797e1a67d7504368603589	3540	3540	1000
GCA_902560855.1 uncultured Pelagibacteraceae bacterium, AG-404-C04	16a26de2de6bc2af5dae93080ce14421	1121	1121	1000
GCA_000435615.1 Firmicutes bacterium CAG:238, MGS238	0ac77ecf1a75dfb2b19d2bdc496941c9	2138	2138	1000
GCA_913046035.1 uncultured Alphaproteobacteria bacterium, ERR599075_bin.90_MetaBAT_v2.12.1_MAG	12600dd3e60723df01ce3bfd81d4281d	2788	2788	1000
GCF_003201975.1 Pseudogracilibacillus auburnensis strain=DSM 28556, ASM320197v1	00b559b296355d27f3f8a71f7eb99517	4762	4762	1000
GCA_910587325.1 uncultured Bacilli bacterium, MGBC143693	14a62f67622811ee6f99d6ace752d1b4	1442	1442	1000
GCA_016209205.1 Chloroflexi bacterium, ASM1620920v1	05a50b85045d4a43e2f1563bb1b6cabc	6167	6167	1000
GCF_010681825.2 Sulfuriroseicoccus oceanibius strain=T37, ASM1068182v2	16957837a24439d7b48872f05875c0a0	3451	3451	1000
GCA_934548045.1 uncultured Faecalibacterium sp., ERR7738176_bin.74	05ed7ebbb08a2f6c8ad07c01534765a9	2393	2393	1000
GCF_006716125.1 Homoserinimonas aerilata strain=DSM 26477, ASM671612v1	1c5433d99ea191fbdd1192ec33b93d88	2807	2807	1000
GCA_021737615.1 Desulfohalobiaceae bacterium, ASM2173761v1	1cdada93e6d24c4de8d20c9f739b86bc	3765	3765	1000
GCF_000285835.1 Brevibacterium senegalense strain=JC43, ASM28583v2	06dc308fe015d2a0c574caffd8e807f0	3391	3391	1000
GCA_016931415.1 Verrucomicrobia bacterium, ASM1693141v1	126c9c6a84b5e659d6f5a97f734fc27d	4070	4070	1000
GCA_021794835.1 Actinomycetia bacterium, ASM2179483v1	1ae02efb38431317773f0bfb65f1f383	2062	2062	1000
