organism_name	md5sum	num_unique_kmers_in_genome_sketch	num_total_kmers_in_genome_sketch	genome_scale_factor
GCA_021817305.1 Candidatus Micrarchaeota archaeon, ASM2181730v1	012aefd6d4be9c6d0897f721fa5c9c85	855	855	1000
GCF_000152965.1 Roseobacter sp. MED193 strain=MED193, ASM15296v1	000ebff468575a368a64b5f439bce814	4514	4514	1000
GCA_015060255.1 Bacteroidales bacterium, ASM1506025v1	0037fc99bf19210901e25c2f18989d4d	2078	2078	1000
GCA_019136105.1 Gammaproteobacteria bacterium, ASM1913610v1	0133089d05f0814a9444d0fbba54f9c6	2438	2438	1000
GCF_021531655.1 Prevotella stercorea strain=An875, ASM2153165v1	016f9de2767e6ef0e8affa04ae328449	3232	3232	1000
GCA_016930855.1 Sedimentisphaerales bacterium, ASM1693085v1	00a7fdacd46d830af21989afa44b516c	3800	3800	1000
GCA_021107195.1 Anaerolineaceae bacterium, ASM2110719v1	00782240494b5072db8976bb17e48d53	3463	3463	1000
GCA_017881345.1 Myxococcaceae bacterium, ASM1788134v1	00e0ad5f97780f9f74e42bfad7acfa3c	4832	4832	1000
GCA_016713905.1 Saprospiraceae bacterium, ASM1671390v1	00dff4752af5b3d80640e9545362f8ab	4451	4451	1000
GCA_910576935.1 uncultured Muribaculaceae bacterium, MGBC103329	00227e71b1624a157d2036d5dc2e4bb0	2617	2617	1000
GCA_927911475.1 uncultured Solobacterium sp., ERR3827267_bin.6_metaWRAP_v1.1_MAG	0111ee48e882219256d24c8961b2b1b4	1541	1541	1000
GCF_000626635.1 Draconibacterium orientale strain=Draconibacterium orientale type strain FH5T, ASM62663v1	0069e0279a025ffd4f539410296c82c0	5108	5108	1000
GCA_021199695.1 Clostridiales bacterium, ASM2119969v1	000a6b2eba5ce4d9dd9dfde62c6dd6d2	1472	1472	1000
GCA_016188785.1 Parcubacteria group bacterium, ASM1618878v1	00b1e3e0e42fd3d71d8630c6aa70f1b2	984	984	1000
GCF_000974425.1 Spirosoma radiotolerans strain=DG5A, ASM97442v1	000756071ba5b3e6e4a1560d05314a8b	7040	7040	1000
GCA_003584625.1 Methanothermobacter sp. MT-2 strain=MT-2, ASM358462v1	0044886e352f440917ddd212134c3453	1433	1433	1000
GCA_002491905.1 Lachnospiraceae bacterium UBA7143, ASM249190v1	00a05c473ce527a8f4ff42aa2ec498b7	3757	3757	1000
GCA_016931855.1 Bacteroidales bacterium, ASM1693185v1	00056de078dbb60b5774139551d7a59a	4126	4126	1000
GCA_000741495.1 Bifidobacterium thermophilum strain=JCM 1207, Bifthelum	006281caf6910aae88368526d05a7196	2148	2148	1000
GCA_902606445.1 uncultured Pelagibacteraceae bacterium, AG-461-O10	01331cacd8cbb18fc08e4e63d9946219	846	846	1000
GCA_016929875.1 Dehalococcoidales bacterium, ASM1692987v1	0025df94e77b4ca2f8fe3b0332cbd9bc	1223	1223	1000
GCA_015228925.1 Magnetococcales bacterium, ASM1522892v1	0123be0840b44f73bad42e4d1cc3a8aa	4125	4125	1000
GCF_004342005.1 Paracandidimonas soli strain=DSM 100048, ASM434200v1	0121609e495ed64aa6d93ab3bf05432f	3946	3946	1000
GCA_019429255.1 Desulfuromonadales bacterium, ASM1942925v1	008cedf09ae12a536b4ab8d72fe58253	2767	2767	1000
GCA_021813125.1 bacterium, ASM2181312v1	00486031b53dda15d7f291acb6e7488d	1028	1028	1000
GCA_002696965.1 Flavobacteriales bacterium, ASM269696v1	000902172253d92494be6339c17d50a8	945	945	1000
GCA_016206745.1 Candidatus Omnitrophica bacterium, ASM1620674v1	0176103debe46883fc3af0cc720c2d2c	1378	1378	1000
GCF_902196135.1 Helicobacter suis strain=HSMm R02019b, HSMmR02019b	00e773a8c3deb5cae2c7b77ef2a7d396	1667	1667	1000
GCA_944389155.1 uncultured Spirochaetaceae bacterium, E19__bin224	00772da927df92d9bb5f51046023affd	2201	2201	1000
GCA_018969355.1 Actinomycetales bacterium, ASM1896935v1	00bca52653265e53ca265f0f35dd377c	1423	1423	1000
GCA_021836035.1 bacterium, ASM2183603v1	0085ce5344d7c7b30ddb6e7776a5a775	1038	1038	1000
GCA_021203425.1 Clostridiales bacterium, ASM2120342v1	005c76de6f3505c98e0ccfcf270a390b	2392	2392	1000
GCA_934141535.1 uncultured Bacilli bacterium, ERR7738243_bin.95	013c304187bc6752bf791255734a5778	1075	1075	1000
GCF_019633745.1 Methanofollis formosanus strain=ML15, ASM1963374v1	00b7337cf24da53f1aace01c4b8a6d54	2991	2991	1000
GCA_905372595.1 uncultured Capnocytophaga sp., SRR9217423-mag-bin.13	00dd6569d6232971d0199f5777ad6c7c	1606	1606	1000
GCA_017446025.1 Bacteroidales bacterium, ASM1744602v1	007941b846480ff5af3b7592d2fe6c68	2028	2028	1000
GCF_014202895.1 Lactovum miscens strain=DSM 14925, ASM1420289v1	00190d0802d70a7e68a64d61380d472a	1765	1765	1000
GCF_003207855.1 Komagataeibacter rhaeticus strain=LMG 22126, ASM320785v1	00021ae472884764d98bb262bf62b228	3486	3486	1000
GCA_023458915.1 Firmicutes bacterium, ASM2345891v1	00368daef85eda60895d143abddc3524	1104	1104	1000
GCA_003229065.1 Candidatus Dadabacteria bacterium, ASM322906v1	005f9e8d7aef4c23bf91de80d8a95159	2021	2021	1000
GCF_003967175.1 Sulfodiicoccus acidiphilus strain=HS-1, Sacidi_1.0	0050a3d91d3c9590460031313b0eba1e	2322	2322	1000
GCA_934463165.1 uncultured Clostridia bacterium, ERR7738659_bin.86	008ba21dbe480e1e9cb0fa9c5e301c12	2858	2858	1000
GCF_001660705.2 Labilibacter aurantiacus strain=HQYD1, ASM166070v2	01107dece596ba228565e0d504fd84d3	5921	5921	1000
GCA_902787125.1 uncultured Spirochaetaceae bacterium, Rumen uncultured genome RUG13243	0173b7c2566a2059b29d2d37b90da7d5	1464	1464	1000
GCA_023381095.1 Firmicutes bacterium, ASM2338109v1	00690f8b78d5c6af76480b8c2c51d862	1763	1763	1000
GCF_003634705.1 Actinomadura pelletieri DSM 43383 strain=DSM 43383, ASM363470v1	001cd16ac17baec09427605d7a413c9a	7454	7454	1000
GCA_022841445.1 Candidatus Saccharibacteria bacterium, ASM2284144v1	00b5b93df31bf72407b117bde4a7b6d9	1029	1029	1000
GCA_902771655.1 uncultured Bacteroidetes bacterium, Rumen uncultured genome RUG11690	0093ccf159c72c0c712c1da6d98aa2d5	2758	2758	1000
GCA_011524755.1 Halieaceae bacterium, ASM1152475v1	00ff36b808a18629189a3936c5e62e8e	1828	1828	1000
GCA_944386735.1 uncultured Clostridia bacterium, BRZ_LP__bin76	00dde3c4890eaebab2a295c0971b4ab7	1694	1694	1000
GCA_011046135.1 Deltaproteobacteria bacterium, ASM1104613v1	0151486bd4a3da461b8e73d16bb97fdb	2930	2930	1000
GCF_019039255.1 Nocardioides sp. G188 strain=G188, ASM1903925v1	003cf4b7cc7188e16e037edadefccf78	4859	4859	1000
GCA_022764045.1 Clostridiales bacterium, ASM2276404v1	009b112125b6f00a0ab2e0cacb44a09e	2517	2517	1000
GCA_902777885.1 uncultured Methanobrevibacter sp., Rumen uncultured genome RUG12316	0074153fea4152de543801b92ca6b0fd	1753	1753	1000
GCA_902805655.1 uncultured Acidimicrobiales bacterium, AVDCRST-MAG50	002373adab77dca5fd7d95ed910b27de	3229	3229	1000
GCA_903828695.1 uncultured Burkholderiales bacterium, freshwater MAG --- AM-2014_bin-3222	00813a7417be25c876963f5295a86932	3063	3063	1000
GCA_913061175.1 uncultured Psychrobacter sp., SRR3933257_bin.1_MetaBAT_v2.12.1_MAG	0000d397ece43a99b0bebb784d65840d	2920	2920	1000
GCA_002718915.1 Euryarchaeota archaeon, ASM271891v1	017caa54d752248ef2d0e815daf9f6cf	811	811	1000
GCA_022360815.1 Desulfobacterales bacterium, ASM2236081v1	015c935b784f17f70bb529bdcdab491b	4133	4133	1000
GCA_002328025.1 Patescibacteria group bacterium UBA2196, ASM232802v1	0172f4a856e65718777373aa68fd426e	772	772	1000
GCA_020631035.1 Chitinophagales bacterium, ASM2063103v1	009ebcb589c3d30815649f99391871dc	5997	5997	1000
GCA_900548745.1 uncultured Prevotella sp., UMGS1118	00706c234c33aa178be61bd36572b50f	2878	2878	1000
GCA_019348395.1 Chloroflexi bacterium, ASM1934839v1	00dc975b0c192a516e57128eef225992	1357	1357	1000
GCA_004375785.1 Candidatus Cloacimonetes bacterium, ASM437578v1	00464c79933ec8e2298c1b667ea38fb2	2482	2482	1000
GCF_002778275.1 Limnohabitans sp. G3-2 strain=G3-2, ASM277827v1	01273785968701c2481650e0717eb94b	3125	3125	1000
GCF_014205895.1 Borrelia lanei strain=DSM 17992, ASM1420589v1	007ac5c51c9bd18328b9427a08be2dbd	1130	1130	1000
GCA_016870095.1 Alphaproteobacteria bacterium, JGI 2017-08-21	01767633604306ab1d6f5ea4ed0ec86e	1715	1715	1000
GCA_012521465.1 Firmicutes bacterium, ASM1252146v1	006b725b41ec4b923136945149744cc1	2622	2622	1000
GCA_012961645.1 Methanosarcinales archaeon, ASM1296164v1	00688b02104b0ce2fb35323a6433e110	1745	1745	1000
GCA_020630065.1 Acidimicrobiales bacterium, ASM2063006v1	0028b569604ae60821d8f7fc89ee0619	3677	3677	1000
GCF_019207025.1 Clostridium sp. PL3 strain=PL3, ASM1920702v1	015108492ae5b6ad79a79c1569d93c48	6394	6394	1000
GCF_902702935.1 Corynebacterium rouxii strain=FRC0190, FRC0190	0168b3d8963300c4884c9f2234e117ef	2379	2379	1000
GCF_001439665.1 Formosa algae strain=KMM 3553, ASM143966v1	005b7add0b2e045f80b90e0dd9ce70b9	4256	4256	1000
GCA_002938315.1 Alphaproteobacteria bacterium MarineAlpha3_Bin2, ASM293831v1	01170ef7a35a6670a8b340d0bf149c6c	2242	2242	1000
GCA_020638455.1 Hyphomonas sp., ASM2063845v1	011c4cf730e280e6742cc97cc050a961	3264	3264	1000
GCA_024691265.1 Treponema sp., ASM2469126v1	00bc0ea63c44a99abae0db8c047f5856	2340	2340	1000
GCA_902556105.1 uncultured SAR86 cluster bacterium, AG-390-E13	01270f53a334337bab86a8dce0b725b7	993	993	1000
GCA_014728955.1 Candidatus Peregrinibacteria bacterium, ASM1472895v1	010610f90ec8996126898808dab106dc	968	968	1000
GCA_910585055.1 uncultured Christensenella sp., MGBC129342	004e1859f46c67fab38f36686614cc9b	1933	1933	1000
GCA_945787895.1 uncultured Prevotella sp., SRR3178347_bin.45_metaWRAP_v1.3_MAG	00fa4a603c551ff3be0e884c99118e7c	2656	2656	1000
GCA_016212745.1 Candidatus Falkowbacteria bacterium, ASM1621274v1	001db234411f6ef30dd8837a0eb9af40	645	645	1000
GCA_018242565.1 Planctomycetes bacterium, ASM1824256v1	0168ec1432f60e807faffd10816f1630	9251	9251	1000
GCA_024275975.1 Nitrospirae bacterium, ASM2427597v1	0048fc360d658caffcdcfb42e472d50a	2538	2538	1000
GCF_000762405.1 Prevotella timonensis S9-PR14 strain=S9-PR14, 04_NF40_HMP9304v01	003a6405199d5ef7cf7aca926ae73c57	3154	3154	1000
GCA_012032235.1 Akkermansiaceae bacterium, ASM1203223v1	013c915bfe05d19e6f7e29403bde0129	2783	2783	1000
GCA_002359075.1 Planococcaceae bacterium UBA3378, ASM235907v1	011135f025f64591470f8b6059933cfc	2877	2877	1000
GCA_019116705.1 Candidatus Gemmiger avistercoris, ASM1911670v1	002de9ffbec213dec5ea9d31c5a3b032	1998	1998	1000
GCF_008329645.1 Mycobacterium grossiae strain=DSM 104744, ASM832964v1	013f99cacd36ba9b9e7e1dfc8db4c955	5595	5595	1000
GCF_008923725.1 Bacillus sp. CH140a_4T strain=CH140a_4T, ASM892372v1	01770947a4c57d8a63e5be52353dcbc9	5394	5394	1000
GCF_001294535.1 Pseudorhodobacter psychrotolerans strain=PAMC 27389, ASM129453v1	013766e04d4074f058a510824cd0cd11	4931	4931	1000
GCA_019454125.1 Fimbriimonadaceae bacterium, ASM1945412v1	00e90b5e59ed1445edada9bc8a4176d9	2629	2629	1000
GCA_944389415.1 uncultured Spirochaetes bacterium, BRZ_GE__bin34	00dad74c62237f2a0ee9ab57d43d0b37	2676	2676	1000
GCF_011189575.1 Photorhabdus cinerea strain=DSM 19724, ASM1118957v1	002f90d980070fa48ed3c6dfe571f39a	4711	4711	1000
GCA_002470275.1 Gammaproteobacteria bacterium UBA7376, ASM247027v1	002d9d9a1f3068af573bf209d33d04a1	2591	2591	1000
GCA_015490315.1 Sulfurovum sp., ASM1549031v1	007d2018f753933e63d6cfd9713dd5b9	1807	1807	1000
GCA_002027195.1 Streptomyces sp. GKU 895 strain=GKU 895, ASM202719v1	000ce432572ad92fe136cc6363927317	8184	8184	1000
GCA_017461395.1 Ruminococcus sp., ASM1746139v1	0118a34e923c2d2dc53b733fbefa4439	2073	2073	1000
GCA_016189845.1 Chloroflexi bacterium, ASM1618984v1	014fcd352f820dd8f7b1ad8850d0f2c2	1556	1556	1000
GCA_017621035.1 Bacteroides sp., ASM1762103v1	01026fa851effd3bc6d3ed59c81630ae	2649	2649	1000
GCA_017470485.1 Synergistaceae bacterium, ASM1747048v1	010521e8c07c7ce86175d8b570344a10	1960	1960	1000
GCA_900543035.1 uncultured Solobacterium sp., UMGS524	00add261cf801c07b6e607485d9e8d83	2362	2362	1000
GCA_023475565.1 Actinobacteria bacterium, ASM2347556v1	013a72dfa52b42cca39a09ca594df8eb	2679	2679	1000
GCF_023702635.1 Spongiibacter taiwanensis strain=SPT1, ASM2370263v1	0022d5302bd2a89d5b4be906678a483a	3721	3721	1000
GCF_000312585.1 Bartonella queenslandensis AUST/NH15 strain=AUST/NH15, ASM31258v1	0062b9c49389121fb85a4123b75e2869	2249	2249	1000
GCF_024733565.1 Rossellomorea sp. SC111 strain=SC111, ASM2473356v1	0013c9287166fb3840066d6cb38257b3	4361	4361	1000
GCA_021323595.1 Acidobacteriia bacterium, ASM2132359v1	014b09d26e5c72012cc0a2a77e70de48	3575	3575	1000
GCA_945875745.1 Chlamydia trachomatis, MsH-30jul19-69	0086c0bd63b9c5f16118bf9751424fb7	1734	1734	1000
GCA_023475035.1 Candidatus Pacearchaeota archaeon, ASM2347503v1	0076a6ae7a10dde5eaf00cd77b6e3f15	555	555	1000
GCA_013216005.1 Alteromonadaceae bacterium, ASM1321600v1	00b6e229fbda4c5afe6c352f866fb1d2	4776	4776	1000
GCA_902578505.1 uncultured Bacteroidetes bacterium, AG-426-L05	014a24dc9e214ea375190a4d6b7a1b2a	1025	1025	1000
GCF_019931195.1 Marinobacter sp. F4216 strain=F4216, ASM1993119v1	017c54ee3a0065ea9e03f7dbdf92f2b0	3668	3668	1000
GCA_021323155.1 Chitinophagaceae bacterium, ASM2132315v1	01381e290ff89b1e9deb8907fe9f3c45	2417	2417	1000
GCF_900197855.1 Helicobacter cynogastricus, 329937_4	01769aa58f78cf4d80ac808a034e457c	1612	1612	1000
GCA_900318835.1 uncultured Bacteroidales bacterium, Rumen uncultured genome RUG429	00647aff7cd483e88e5187da52ecadc8	2234	2234	1000
GCF_019207085.1 Variovorax sp. dw_308 strain=dw_308, ASM1920708v1	010931fb2c7e2642032de22d4982e1bd	8052	8052	1000
GCA_002394865.1 Fibrobacter sp. UBA4297, ASM239486v1	0153b73dd863211e6c14fb10170705ef	3601	3601	1000
GCF_000719865.1 Streptomyces albus subsp. albus strain=NRRL F-4971, ASM71986v1	00a3675b1e84251297aaa1c396735aba	6936	6936	1000
GCF_000633595.2 Clostridium drakei strain=SL1, ASM63359v2	017398189f6bc93d30c9926d7e77b49e	5494	5494	1000
GCA_014654165.1 Pelagibacterales bacterium SAG-MED13, ASM1465416v1	013d330ddb7270f0a37fde60faf0dde8	1086	1086	1000
GCA_903873095.1 uncultured bacterium, freshwater MAG --- AM-lipid-02-D4_bin-0951	00c98aa9a2d623e535dddacac57bba36	659	659	1000
GCA_905234635.1 uncultured Eggerthellaceae bacterium, RUG30157	00236c7de3010725ada28d3962de9f02	1716	1716	1000
GCA_022841795.1 Fimbriiglobus sp., ASM2284179v1	000f31506f25241a4006fbc384330f36	7336	7336	1000
GCF_014635285.1 Stappia taiwanensis strain=CCM 7757, ASM1463528v1	012dbcdea8e4966a797007a5a14a4bd9	4397	4397	1000
GCA_016186425.1 Candidatus Pacearchaeota archaeon, ASM1618642v1	002f408c88f0222e9ef2b1a1e062017f	886	886	1000
GCF_000466385.1 Aneurinibacillus aneurinilyticus ATCC 12856 strain=ATCC 12856, ASM46638v1	00caeb4515040b6838db814bb0acc69d	5294	5294	1000
GCA_945639745.1 uncultured Bacillaceae bacterium, SRR14474044_bin.8_metaWRAP_v1.3_MAG	001fb0f8326aca9d4c5f64c8127e864c	1539	1539	1000
GCA_015487555.1 Phycisphaerales bacterium, ASM1548755v1	016d55f5785cc4c5c690c17a0fec06a5	2694	2694	1000
GCA_944326625.1 Candidatus Gastranaerophilales bacterium, BRZ_RB__bin26	01138f9ba7fc2fe39ec58578dfa0003b	1384	1384	1000
GCF_014647415.1 Haloarcula sebkhae strain=JCM 19018, ASM1464741v1	003bca3aed8afdbfdd539285bfde202b	4154	4154	1000
GCA_005888395.1 Actinobacteria bacterium, ASM588839v1	0170c326cb7860d9111d7eb75666c6b8	2547	2547	1000
GCA_013205245.1 Flavobacteriales bacterium, ASM1320524v1	007ecba980c13bcac09d838cd4c90c9b	2360	2360	1000
GCA_018831055.1 Bacteroidetes bacterium, ASM1883105v1	0078e34891a703290554fb667063dc03	4222	4222	1000
GCA_019116185.1 Candidatus Mediterraneibacter stercorigallinarum, ASM1911618v1	01721465d936f45b28feb5dc2415a0bc	2305	2305	1000
GCF_004102045.2 Oenococcus sicerae strain=UCMA15228, ASM410204v2	0012e640de75fb10f2e18561f10fa707	1600	1600	1000
GCA_903875275.1 uncultured beta proteobacterium, freshwater MAG --- Ja_bin-5366	00c11e671f2c6f6702e1f9cfb2e79c88	3285	3285	1000
GCA_021811005.1 Proteobacteria bacterium, ASM2181100v1	01163ed3e8c138ce54ec4d74bf1157a8	1853	1853	1000
GCF_001424005.1 Sphingomonas sp. Leaf198 strain=Leaf198, Leaf198	0162644bc3bacaa38b8d6d08a915b48a	4022	4022	1000
GCF_000018285.1 Shewanella pealeana ATCC 700345 strain=ATCC 700345, ASM1828v1	00e9a4daee8b5d29cd00978b609e0ffd	4882	4882	1000
GCA_003142185.1 Bryobacterales bacterium, 20120700_S3X	001c1d69315bed95912b19d14fe551e3	5681	5681	1000
GCF_900129885.1 Candidimonas bauzanensis strain=CGMCC 1.10190, IMG-taxon 2617270875 annotated assembly	00fc0dbaaff45f25c774e85eb9de5f08	5593	5593	1000
GCF_011045095.1 Grimontia sp. S25 strain=S25, ASM1104509v1	009237123eb3a5f4819a4a25d5b277c1	5205	5205	1000
GCF_002941025.1 Streptomyces sp. QL37 strain=QL37, ASM294102v1	003728912db8c8bbc3341577ea393ca8	8763	8763	1000
GCA_017652125.1 Clostridia bacterium, ASM1765212v1	00bf6ea1d1bb5a46c46be3bef85afcc3	2595	2595	1000
GCA_013820755.1 Chthoniobacterales bacterium, ASM1382075v1	0048204ee2106f1292bef9ecbb6dca2d	3091	3091	1000
GCA_016208745.1 Candidatus Portnoybacteria bacterium, ASM1620874v1	005fe1d5c9e488d28b746ca71fa43120	809	809	1000
GCA_900757655.1 uncultured Oscillospiraceae bacterium, ERS537352_6	00531e204cf12a11942ed3f91b2034b4	1802	1802	1000
GCA_934277615.1 uncultured Clostridia bacterium, ERR7738584_bin.61	004e6c86f2603a2ac0659e7cab527432	1259	1259	1000
GCF_003201595.1 Sphaerotilus hippei strain=DSM 566, ASM320159v1	0072c54200ff01f6655ae58d46e5399e	4376	4376	1000
GCA_018821305.1 Myxococcota bacterium, ASM1882130v1	013e96df34ab5a28a39665802c10ce3c	5048	5048	1000
GCA_905236605.1 uncultured Synergistales bacterium, RUG30377	0153d587a66fce31cd7683ba2cc90cb2	1793	1793	1000
GCA_934613415.1 uncultured Opitutales bacterium, ERR7738608_bin.87	00d7358b5c4bab9b04736cb2b80df205	2082	2082	1000
GCA_002898395.1 archaeon HR02, ASM289839v1	011652dc2328bbb2e3d3954d963f7b60	1726	1726	1000
GCF_904846235.1 Psychrobacter immobilis, ASM90484623v1	010b93d12a835ad51810fa925fecaa48	3205	3205	1000
GCA_015522865.1 Candidatus Micrarchaeota archaeon, ASM1552286v1	00ee932d2226b07fceb104b902f69983	648	648	1000
GCA_018823285.1 Proteobacteria bacterium, ASM1882328v1	001ce000594c20cbb06acca05d3d52b7	3970	3970	1000
GCF_000712165.1 Ureaplasma canigenitalium ATCC 51252 strain=ATCC 51252, ASM71216v1	0140ce4a070212c313d040dad85f8344	820	820	1000
GCA_023429375.1 Bacteroidetes bacterium, ASM2342937v1	00780f07228ed805cb21e766fb248468	2747	2747	1000
GCF_001429165.1 Agromyces sp. Root81 strain=Root81, Root81	010ef1ff25c51b7d0ed2c191afde633d	4252	4252	1000
GCA_002707905.1 Candidatus Marinimicrobia bacterium, ASM270790v1	000d03cff4bc649a074dba1d4ee3dd0a	914	914	1000
GCA_913058195.1 uncultured Gammaproteobacteria bacterium, SRR3933271_bin.2_MetaBAT_v2.12.1_MAG	001ecfdcbd43a981c6ab58009504286c	2452	2452	1000
GCA_013141075.1 Methylotenera sp., ASM1314107v1	01534df0fe5a8fad5daa7f5f9c0cbda4	2434	2434	1000
GCF_001306415.1 Croceitalea dokdonensis DOKDO 023 strain=DOKDO 023, ASM130641v1	012d735efc4bdfbb88303cb86c9eb3c9	3796	3796	1000
GCA_002385415.1 Clostridiales bacterium UBA3953, ASM238541v1	0001190918b975034d0969699ec2c1d3	1893	1893	1000
GCA_020404465.1 Rickettsia endosymbiont of Omalisus fontisbellaquei, ASM2040446v1	00cae5452c959e946b5ebcbd8c29f01e	1498	1498	1000
GCA_009377385.1 Actinophytocola sp., ASM937738v1	0105dc26f834216fce36426120bfb0fd	4985	4985	1000
GCA_021201825.1 Alistipes sp., ASM2120182v1	012de2c127bfec97abad5d67b6ed6909	2825	2825	1000
GCA_003154375.1 Candidatus Peregrinibacteria bacterium, 20120700_E2X	00d087edc9323f72d156a72406535d34	1629	1629	1000
GCA_016873715.1 Lentisphaerae bacterium, JGI 2017-08-21	00f3ad7cebe797149b815e127e7f8747	5086	5086	1000
GCF_900142735.1 Flavobacterium saccharophilum strain=DSM 1811, IMG-taxon 2698536752 annotated assembly	00eedfaa1ed4db092011dd41d9fa8ccd	5296	5296	1000
GCA_024691625.1 Schwartzia sp., ASM2469162v1	012318c577872a02905773bf821f2142	1395	1395	1000
GCF_016907545.1 Paenarthrobacter ilicis strain=DSM 20138, ASM1690754v1	00fa93064f8ce5746f7e08ca99beff3f	3932	3932	1000
GCA_910579785.1 uncultured Christensenella sp., MGBC114095	00c7dfcce1bcfc4743b012c155d584da	1808	1808	1000
GCA_020072815.1 Acidobacteriia bacterium, ASM2007281v1	01045bfa3c4924e61dfea9bc02045b51	5321	5321	1000
GCA_900551775.1 uncultured Eubacterium sp., UMGS1437	008c48860ada89fb2281666f49e06708	4517	4517	1000
GCF_900176375.1 Reichenbachiella faecimaris strain=DSM 26133, IMG-taxon 2619619645 annotated assembly	0047f61011a7ab41bcbe6fd9a32904cc	4655	4655	1000
GCA_900104795.1 Burkholderia sp. WP9 strain=WP9, IMG-taxon 2687453794 annotated assembly	010a19e421d4bac3e5a2741c4ad998a3	8892	8892	1000
GCA_002428635.1 Bacteroidales bacterium UBA6088, ASM242863v1	0112a0d3383ff11f7b2f4928fb41306f	2265	2265	1000
GCA_902783285.1 uncultured Desulfovibrio sp., Rumen uncultured genome RUG12860	001666a791f79ea6872a6bf744f1214d	1902	1902	1000
GCA_005880165.1 Chloroflexi bacterium, ASM588016v1	004a94d700219785bc6d6ef165cd89e9	2234	2234	1000
GCA_017615135.1 Bacteroidales bacterium, ASM1761513v1	01344eca45cf61114218c37cd194a5a7	1508	1508	1000
GCA_009779355.1 Betaproteobacteria bacterium, ASM977935v1	006ec7d887825be12b542ae7c2d97876	2491	2491	1000
GCA_022782405.1 Alistipes sp., ASM2278240v1	005b9523cdfca30b1ed96ff5723c08f3	2261	2261	1000
GCA_003660235.1 bacterium endosymbiont of Escarpia laminata, ASM366023v1	00d8e955b6f4ebeec437c221096aa46c	4186	4186	1000
GCA_021846485.1 Actinomycetia bacterium, ASM2184648v1	00ba0b5a8e92446c39356829c4c1c4e9	3485	3485	1000
GCF_014251555.1 Blattabacterium cuenoti strain=PARCOBvir, ASM1425155v1	00794c8e9867d9c233ba08aa3b94e1c1	667	667	1000
GCF_001293565.1 Ahrensia marina strain=LZD062, ASM129356v1	0068241b1ce683da5939468bed22670c	3449	3449	1000
GCA_001640045.1 Candidatus Thiomargarita nelsonii strain=THI036, THIOM	0158f69eb16f5681a7cabaee4cb1b2ec	4633	4633	1000
GCF_000211855.2 Lacinutrix sp. 5H-3-7-4 strain=5H-3-7-4, ASM21185v3	00a238371d14b6c28dec7e031038892d	3197	3197	1000
GCA_023403845.1 Proteobacteria bacterium, ASM2340384v1	01475035410ec10030f8d9cc533f1a02	2638	2638	1000
GCA_021824155.1 bacterium, ASM2182415v1	0040077cf4238913e4a3cbe27745c9cd	769	769	1000
GCA_024742355.1 Hyphomonadaceae bacterium, ASM2474235v1	0105f0a24c955fd0236597d2315da21b	3444	3444	1000
